operator,color_r,color_g,color_b
SWSF,0,0,255
STMF,0,0,255
SBFY,0,0,255
NXSF,0,0,255
NWFF,0,0,255
NULV,0,0,255
NAUT,0,0,255
MSSW,0,0,255
MDFY,0,0,255
IOWC,0,0,255
ie-FY-WH,0,0,255
ie-FY-VI,0,0,255
ie-FY-TO,0,0,255
ie-FY-SL,0,0,255
ie-FY-SH,0,0,255
ie-FY-PE,0,0,255
ie-FY-MU,0,0,255
ie-FY-LS,0,0,255
ie-FY-LI,0,0,255
ie-FY-LF,0,0,255
ie-FY-IT,0,0,255
ie-FY-IB,0,0,255
ie-FY-HQ,0,0,255
ie-FY-HI,0,0,255
ie-FY-DO,0,0,255
ie-FY-CL,0,0,255
ie-FY-CI,0,0,255
ie-FY-BP,0,0,255
ie-FY-AR,0,0,255
ie-FY-AB,0,0,255
HHFS,0,0,255
HAYL,0,0,255
GOSF,0,0,255
FLFY,0,0,255
FFBY,0,0,255
DMHF,0,0,255
BLSF,0,0,255
BFBC,0,0,255
ie-7778306,0,189,255
ie-FL-AAI,24,159,255
ie-870,148,255,0
ie-593,0,255,124
GWCO,11,0,255
LJCO,255,190,0
FRMN,0,0,255
DNBG,255,45,51
VALT,255,255,0
WTAX,46,255,80
PATS,255,19,19
ie-290,0,255,205
AOLC,255,0,0
HUYT,16,255,23
CAVE,255,216,0
FOWT,255,219,162
KILV,0,255,0
BRLN,0,255,128
COMM,255,242,35
CWPC,122,51,255
SHPT,0,128,255
AMKC,0,0,255
ie-218,135,39,255
TMST,255,222,63
CHLK,255,14,45
ie-Cable,0,255,230
MVCB,0,128,255
CKMR,0,255,89
BACT,255,252,26
CHEL,255,0,0
RGNT,255,102,18
LTRV,30,119,255
WESO,30,119,255
SWNR,30,119,255
SVRW,30,119,255
SSRW,30,119,255
SNAE,30,119,255
RHDR,30,119,255
LWRS,30,119,255
LDLR,30,119,255
KESR,30,119,255
KDRW,30,119,255
IOMR,30,119,255
IMER,30,119,255
BNKR,30,119,255
BBRW,30,119,255
TSCE,30,68,255
DVPA,85,170,255
TLYH,0,55,255
NADT,255,15,128
BULI,255,198,46
PEMB,255,0,49
WIMC,0,0,255
SSSN,37,40,255
SWFC,25,255,35
WCTY,255,20,0
PSNL,0,0,255
NOCT,36,107,255
SHIL,133,53,255
MCOL,0,165,255
ie-801,33,255,179
CON2,255,0,0
